Date,Open,High,Low,Close,Adj Close,Volume
2020-01-09,10.250000,10.350000,10.200000,10.250000,10.250000,2461281
2020-01-10,10.250000,10.400000,10.200000,10.300000,10.300000,4653634
2020-01-13,10.300000,10.400000,10.100000,10.300000,10.300000,6774788
2020-01-14,10.300000,10.400000,10.250000,10.350000,10.350000,3805018
2020-01-15,10.350000,11.000000,10.350000,10.900000,10.900000,11686608
2020-01-16,11.000000,11.250000,11.000000,11.050000,11.050000,10681889
2020-01-17,11.200000,11.250000,10.700000,10.950000,10.950000,11690847
2020-01-20,10.900000,11.200000,10.900000,11.100000,11.100000,6062904
2020-01-21,11.150000,11.450000,11.100000,11.150000,11.150000,7302526
2020-01-22,11.200000,11.300000,11.050000,11.100000,11.100000,3226322
2020-01-23,11.100000,11.250000,11.000000,11.050000,11.050000,4023789
2020-01-24,11.100000,11.250000,11.000000,11.200000,11.200000,4145158
2020-01-27,11.200000,11.250000,11.050000,11.050000,11.050000,4587207
2020-01-28,11.100000,11.100000,10.800000,10.850000,10.850000,4007377
2020-01-29,10.900000,11.050000,10.850000,10.900000,10.900000,2858340
2020-01-30,10.950000,10.950000,10.600000,10.650000,10.650000,4042939
2020-01-31,10.650000,10.700000,10.450000,10.450000,10.450000,6415284
2020-02-03,10.250000,10.350000,10.000000,10.050000,10.050000,6789951
2020-02-04,10.050000,10.150000,9.950000,10.050000,10.050000,10163349
2020-02-05,10.100000,10.150000,10.000000,10.100000,10.100000,5764734
2020-02-06,10.200000,10.200000,10.050000,10.100000,10.100000,6514093
2020-02-07,10.150000,10.150000,10.050000,10.100000,10.100000,2533323
2020-02-10,10.150000,10.150000,9.950000,9.950000,9.950000,4888734
2020-02-11,10.050000,10.100000,10.000000,10.000000,10.000000,2330574
2020-02-12,10.050000,10.100000,9.900000,9.950000,9.950000,7436042
2020-02-13,9.950000,10.150000,9.900000,10.000000,10.000000,4492295
2020-02-14,10.000000,10.150000,9.900000,9.950000,9.950000,4016678
2020-02-17,10.000000,10.050000,9.750000,9.850000,9.850000,5207241
2020-02-18,9.850000,9.850000,9.600000,9.700000,9.700000,4988783
